_ID_;_NAME_;_MODEL_;_PRICE_;_DESCRIPTION_;_IMAGES_
146;"Светодиодная лампа Feron Filament LB-68 4Вт E14 2700K";25651;95.0000;"<p style=""font-size: 13px; line-height: 20.8px;"">Лампа из&nbsp;серии&nbsp;светодиодных ламп&nbsp;классических&nbsp;форм с&nbsp;прозрачными&nbsp;колбами, которые&nbsp;наилучшим образом сочетаются с&nbsp;классическими&nbsp;люстрами и&nbsp;бра.&nbsp;Лампы&nbsp;изготавливаются по новой современной технологии&nbsp;светодиодных нитей&nbsp;(LED Filament), что обеспечивает им&nbsp;высокие&nbsp;показатели&nbsp;энергоэффективности&nbsp;100Lm/W. Она&nbsp;представляет&nbsp;собой&nbsp;тонкую долгую подложку, на которой&nbsp;установлены светодиодные&nbsp;кристаллы&nbsp;очень&nbsp;маленького&nbsp;размера, покрытые слоем люминофора. Благодаря такой&nbsp;технологии&nbsp;и&nbsp;конструкции&nbsp;ламп, они по внешнему виду и характеристикам свечения, максимально&nbsp;близки&nbsp;к&nbsp;лампам накаливания. Ведь именно лампы&nbsp;накаливания создают неповторимую&nbsp;игру света на&nbsp;гранях кристаллов&nbsp;классических люстр. Это диммируемая лампа, поэтому она может изменять свой световой поток от 5% до 100%, благодаря подключению к диммеру.&nbsp;Диммирование светодиодных ламп осуществляется&nbsp;при использовании «фазовой отсечки», при которой&nbsp;происходит отсечение одной части синусоиды&nbsp;напряжения в сети, и происходит уменьшение действия,&nbsp;питающего напряжения на освещение.&nbsp;&nbsp;Для диммирования лампы подходят диммеры,&nbsp;применяющие фазовую отсечку по передней части&nbsp;фронта синусоиды (так называемые, ТРИАК диммеры).&nbsp;Для диммирования лампы&nbsp;можно использовать&nbsp;сетевой шнур с диммером ТМ Feron DM103.</p>
<p>Технические характеристики могут изменяться в зависимости от партии</p>";catalog/lb-68_4w.jpg
391;"Галогенна лампа Feron HB3 MR-11 12V 20Вт";02201;32.0000;"<h2>Галогенная лампа Feron HB3 MR-11 12V 20Вт</h2>
<p>Галогенная лампа Feron HB3 MR-11 12V 20Вт предоставляет яркое и направленное освещение в вашем пространстве. С маленьким размером и высокой яркостью она идеально подходит для использования в точечных светильниках и подсветке определенных областей.</p>
<p>Лампа оснащена цоколем MR-11 и работает от напряжения 12V, что делает ее удобным выбором для различных светильников и декоративных применений. С выходом мощностью 20Вт, она обеспечивает достаточный световой поток для подсветки объектов или создания атмосферного освещения.</p>
<p>Выберите галогенную лампу Feron HB3 MR-11 12V 20Вт для теплого и яркого света в ваших помещениях.</p>
<h4>Технические характеристики могут изменяться в зависимости от партии.</h4>";catalog/hb3mr11_20w.jpg
499;"Встроенный светильник Feron DL10 под лампу античная медь";15207;38.0000;"<h2>Встроенный светильник Feron DL10 античная медь</h2>

<p>Встроенный светильник Feron DL10 античная медь - изысканный вариант для создания освещения в античном стиле в вашем интерьере. Античная медь добавляет этому светильнику элегантный вид, подчеркивая его изысканность и старинный шарм.</p>

<p><b>Особенности:</b></p>
<ul>
  <li>Дизайн в античном стиле для изысканного эффекта.</li>
  <li>Встроенный тип светильника для эстетичного вида.</li>
  <li>Эффективное освещение для создания комфортной атмосферы.</li>
  <li>Легкая установка в разнообразные помещения.</li>
  <li>Высокое качество изготовления для долговечности и надежности.</li>
</ul>

<p>Встроенный светильник Feron DL10 античная медь - это прекрасный способ добавить атмосферу старины и роскоши в ваш интерьер, создавая впечатление уникальности и класса.</p>
";data/products/15207/DL10.jpg,catalog/dl10_elabel.jpg
501;"Встроенный светильник Feron DL10 под лампу белый";15109;38.0000;"<h2>Встроенный светильник Feron DL10 белый</h2>

<p>Встроенный светильник Feron DL10 белый - стильный и функциональный выбор для освещения вашего помещения. Белый цвет добавляет этому светильнику современный вид и делает его универсальным для различных интерьеров.</p>

<p><b>Особенности:</b></p>
<ul>
  <li>Современный дизайн для изысканного эффекта.</li>
  <li>Встроенный тип светильника для эстетичного вида.</li>
  <li>Эффективное освещение для создания комфортной атмосферы.</li>
  <li>Легкая установка в разнообразные помещения.</li>
  <li>Высокое качество изготовления для долговечности и надежности.</li>
</ul>

<p>Встроенный светильник Feron DL10 белый - идеальное решение для тех, кто ценит простоту и элегантность в дизайне интерьера.</p>
";data/products/15207/DL10_7.jpg,catalog/dl10_elabel.jpg
503;"Встроенный светильник Feron DL10 под лампу серебро";15111;49.0000;"<h2>Встроенный светильник Feron DL10 серебро</h2>

<p>Встроенный светильник Feron DL10 серебро - стильный и функциональный выбор для освещения вашего помещения. Серебристый цвет придает этому светильнику современный вид и делает его универсальным для различных интерьеров.</p>

<p><b>Особенности:</b></p>
<ul>
  <li>Современный дизайн для изысканного эффекта.</li>
  <li>Встроенный тип светильника для эстетичного вида.</li>
  <li>Эффективное освещение для создания комфортной атмосферы.</li>
  <li>Легкая установка в разнообразные помещения.</li>
  <li>Высокое качество изготовления для долговечности и надежности.</li>
</ul>

<p>Встроенный светильник Feron DL10 серебро - идеальное решение для тех, кто ценит простоту и элегантность в дизайне интерьера.</p>
";data/products/15207/DL10_4.jpg,catalog/dl10_elabel.jpg
504;"Встроенный светильник Feron DL10 под лампу титан";15112;49.0000;"<h2>Встроенный светильник Feron DL10 титан</h2>

<p>Встроенный светильник Feron DL10 титан - это современный и эстетичный выбор для освещения вашего помещения. Титановый цвет придает этому светильнику стильный вид и делает его отличным дополнением к любому интерьеру.</p>

<p><b>Особенности:</b></p>
<ul>
  <li>Современный дизайн для создания изысканного эффекта.</li>
  <li>Встроенный тип светильника для эстетичного вида.</li>
  <li>Эффективное освещение для создания комфортной атмосферы.</li>
  <li>Легкая установка в разнообразные помещения.</li>
  <li>Высокое качество изготовления для долговечности и надежности.</li>
</ul>

<p>Встроенный светильник Feron DL10 титан - идеальный выбор для тех, кто ищет сочетание стиля и функциональности в своем интерьере.</p>
";data/products/15207/DL10_3.jpg,catalog/dl10_elabel.jpg
505;"Встроенный светильник Feron DL10 под лампу хром";15113;49.0000;"<h2>Встроенный светильник Feron DL10 хром</h2>
<p>Встроенный светильник Feron DL10 с хромированным покрытием - это элегантный и стильный выбор для освещения вашего пространства. Он сочетает в себе современный дизайн и высокую функциональность, создавая приятную атмосферу в любом помещении.</p>
<p>Этот светильник идеально подходит для использования на кухнях, в ванных комнатах, в коридорах или в других помещениях, где требуется точное и эффективное освещение. Он добавит вашему интерьеру шарма и стиля, при этом обеспечивая достаточное освещение для ваших потреб.</p>
<p>Благодаря своим компактным размерам и простой установке встроенный светильник Feron DL10 легко встраивается в любой потолок, что позволяет вам эффективно использовать пространство и обеспечить необходимый уровень освещения.</p>
";"data/products/15207/DL10_6 ch.jpg,catalog/dl10_elabel.jpg"
507;"Встроенный светильник Feron DL11 под лампу белый";15114;64.0000;"<h2>Встроенный светильник Feron DL11 белый</h2>

<p>Встроенный светильник Feron DL11 белый - это элегантный выбор для создания освещения в вашем помещении. Белый цвет придает этому светильнику чистый и свежий вид, делая его отличным дополнением к любому интерьеру.</p>

<p><b>Особенности:</b></p>
<ul>
  <li>Стильный дизайн для создания впечатляющего эффекта.</li>
  <li>Встроенный тип светильника для эстетичного вида.</li>
  <li>Эффективное освещение для создания комфортной атмосферы.</li>
  <li>Легкая установка в разнообразные помещения.</li>
  <li>Высокое качество изготовления для долговечности и надежности.</li>
</ul>

<p>Встроенный светильник Feron DL11 белый - идеальный выбор для тех, кто ищет световое решение с чистым и современным видом.</p>
";data/products/15208/DL11_6.jpg,catalog/dl11_elabel.jpg
510;"Встроенный светильник Feron DL11 под лампу титан";15117;69.0000;"<h2>Встроенный светильник Feron DL11 титан</h2>

<p>Встроенный светильник Feron DL11 титан - современный выбор для создания освещения в вашем помещении. Титановое покрытие придает этому светильнику солидный и устойчивый вид, делая его отличным элементом дизайна интерьера.</p>

<p><b>Особенности:</b></p>
<ul>
  <li>Современный дизайн для создания стильного эффекта.</li>
  <li>Встроенный тип светильника для эстетичного вида.</li>
  <li>Эффективное освещение для создания комфортной атмосферы.</li>
  <li>Легкая установка в разнообразные помещения.</li>
  <li>Высокое качество изготовления для долговечности и надежности.</li>
</ul>

<p>Встроенный светильник Feron DL11 титан - идеальный выбор для тех, кто ценит современный стиль и качество.</p>
";data/products/15208/DL11_2.jpg,catalog/dl11_elabel.jpg
512;"Встроенный светильник Feron DL13 под лампу белый";15126;38.0000;"<h2>Встроенный светильник Feron DL13 белый</h2>

<p>Встроенный светильник Feron DL13 белый - это элегантный выбор для создания освещения в вашем помещении. Белый цвет придает этому светильнику свежий и чистый вид, делая его универсальным элементом для любого интерьера.</p>

<p><b>Особенности:</b></p>
<ul>
  <li>Элегантный дизайн для создания изысканного эффекта.</li>
  <li>Встроенный тип светильника для эстетичного вида.</li>
  <li>Эффективное освещение для создания комфортной атмосферы.</li>
  <li>Легкая установка в разнообразные помещения.</li>
  <li>Высокое качество изготовления для долговечности и надежности.</li>
</ul>

<p>Встроенный светильник Feron DL13 белый - идеальный выбор для тех, кто ценит простоту и стиль в своем пространстве.</p>
";data/products/15126/DL13_3.jpg,catalog/dl13_elabel.jpg
